t,relPosX,relPosY,relPosZ,lat,lon,worldVelX,worldVelY,worldVelZ,worldAccX,worldAccY,worldAccZ,qW,qX,qY,qZ,bodyAccX,bodyAccY,bodyAccZ,bodyGyrX,bodyGyrY,bodyGyrZ
0.002,4.19E-06,4.21E-06,5.50E-05,28.61,-80.6,0.006295548,0.006313576,0.085735792,0,0,0,0.999048222,-0.030843565,0.030843565,0,0,0,0,0,0,0
0.004,3.36E-05,3.37E-05,4.79E-04,28.61,-80.6,0.025220553,0.02526073,0.372423639,6.303493877,6.314366715,92.27670752,0.999048222,-0.030843565,0.030843565,0,0.592619108,0.603491946,92.70318556,0,0,0
0.006,1.14E-04,1.14E-04,0.001680921,28.61,-80.6,0.056786843,0.056851277,0.863486255,12.62221051,12.63360704,194.4243833,0.999048222,-0.030843565,0.030843565,0,0.592090588,0.603487123,195.2410158,0,0,0
0.008,2.69E-04,2.70E-04,0.004069388,28.61,-80.6,0.101000506,0.101095016,1.559082172,18.94459635,18.95775682,296.6514465,0.999048222,-0.030843565,0.030843565,0,0.590322431,0.603482906,297.8584602,0,0,0
0.01,5.26E-04,5.27E-04,0.008053715,28.61,-80.59999999,0.157789944,0.158001774,2.459373955,25.26932784,25.28679425,398.9576315,0.999048222,-0.030843565,0.030843565,0,0.586010019,0.603476426,400.5551711,0,0,0
0.012,9.09E-04,9.10E-04,0.014043449,28.61000001,-80.59999999,0.227215552,0.227581139,3.564515415,31.55016265,31.62072915,501.3454202,0.999048222,-0.030843565,0.030843565,0,0.532846021,0.603412517,503.3307715,0,0,0
0.014,0.001443174,0.001445282,0.022448447,28.61000001,-80.59999999,0.309288252,0.309842754,4.874663144,37.87511221,37.95944096,603.8091657,0.999048222,-0.030843565,0.030843565,0,0.51902265,0.603351398,606.185053,0,0,0
0.016,0.002153385,0.002156603,0.033679012,28.61000002,-80.59999998,0.403039504,0.403594006,6.390108533,43.7018149,43.7018149,706.4195158,0.999048222,-0.030843565,0.030843565,0,7.11E-15,-1.42E-14,709.1179236,0,0,0
0.017,0.002581979,0.002585751,0.040482196,28.61000002,-80.59999997,0.454677661,0.455232164,7.224815338,50.05024273,50.05024273,809.0388997,0.999048222,-0.030843565,0.030843565,0,7.11E-15,-1.78E-14,812.1292968,0,0,0
0.0185,0.003323633,0.003328237,0.052283428,28.61000003,-80.59999997,0.534032437,0.534586939,8.507548379,53.22627498,53.22627498,860.377984,0.999048222,-0.030843565,0.030843565,0,1.07E-14,-1.42E-14,863.6644882,0,0,0
0.0205,0.004496283,0.004501995,0.07098909,28.61000004,-80.59999995,0.638329655,0.638884157,10.19346441,52.57996495,52.57996495,849.9306829,0.999048222,-0.030843565,0.030843565,0,1.42E-14,-1.42E-14,853.1772801,0,0,0
0.023,0.006252598,0.006259696,0.099067007,28.61000006,-80.59999994,0.766271893,0.766826396,12.2615912,51.71702493,51.71702493,835.9816588,0.999048222,-0.030843565,0.030843565,0,7.11E-15,-1.42E-14,839.1749729,0,0,0
0.025,0.007886882,0.00789509,0.125234775,28.61000007,-80.59999992,0.868246118,0.868800621,13.90995713,50.63638577,50.63638577,818.5136293,0.999048222,-0.030843565,0.030843565,0,3.55E-15,-1.78E-14,821.6402184,0,0,0
0.027,0.009726518,0.009735835,0.154721968,28.61000009,-80.5999999,0.971624541,0.972179043,15.58102125,51.33800073,51.33800073,829.8549089,0.999048222,-0.030843565,0.030843565,0,1.78E-14,-7.11E-15,833.0248199,0,0,0
0.029,0.011774317,0.011784743,0.187574013,28.61000011,-80.59999988,1.07640909,1.076963592,17.27481477,52.04058237,52.04058237,841.2118143,0.999048222,-0.030843565,0.030843565,0,3.55E-15,-2.13E-14,844.4251068,0,0,0
0.031,0.014033093,0.014044628,0.223836401,28.61000013,-80.59999986,1.182601689,1.183156192,18.99136875,52.74412712,52.74412712,852.5842881,0.999048222,-0.030843565,0.030843565,0,7.11E-15,-1.42E-14,855.8410216,0,0,0
0.032,0.015242478,0.015254567,0.243260706,28.61000014,-80.59999984,1.236226607,1.236781109,19.85819061,53.44863185,53.44863185,863.9722794,0.999048222,-0.030843565,0.030843565,0,1.42E-14,-3.55E-15,867.2725132,0,0,0
0.0335,0.017156897,0.017169818,0.274019133,28.61000015,-80.59999982,1.316032631,1.316587133,21.14821787,53.80124328,53.80124328,869.6720793,0.999048222,-0.030843565,0.030843565,0,7.11E-15,-1.78E-14,872.9940853,0,0,0
0.036,0.020609297,0.020623605,0.329513491,28.61000019,-80.59999979,1.445056978,1.44561148,23.23383645,52.60655351,52.60655351,850.3604747,0.999048222,-0.030843565,0.030843565,0,3.55E-15,-1.78E-14,853.6087136,0,0,0
0.038,0.023600933,0.023616349,0.377622218,28.61000021,-80.59999976,1.54672764,1.547282143,24.87729543,50.61227225,50.61227225,818.1238454,0.999048222,-0.030843565,0.030843565,0,7.11E-15,-1.42E-14,821.2489456,0,0,0
0.04,0.026796803,0.026813328,0.429032296,28.61000024,-80.59999973,1.649291288,1.64984579,26.53518909,51.05848405,51.05848405,825.3366517,0.999048222,-0.030843565,0.030843565,0,7.11E-15,-1.42E-14,828.4893036,0,0,0
0.042,0.030198694,0.030216329,0.48377261,28.61000027,-80.59999969,1.752749038,1.753303541,28.20753552,51.50525628,51.50525628,832.558517,0.999048222,-0.030843565,0.030843565,0,3.55E-15,-1.42E-14,835.7387553,0,0,0
0.044,0.033808396,0.033827139,0.541872085,28.6100003,-80.59999965,1.857102008,1.857656511,29.89435275,51.95258726,51.95258726,839.7894143,0.999048222,-0.030843565,0.030843565,0,1.07E-14,-1.42E-14,842.9972734,0,0,0
0.046,0.037627619,0.037647472,0.60335838,28.61000034,-80.59999961,1.96223067,1.962785172,31.59370869,52.4004753,52.4004753,847.0293162,0.999048222,-0.030843565,0.030843565,0,1.07E-14,-1.42E-14,850.2648306,0,0,0
