Time,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,Prs,Temp
0,2.872,-0.295,2.271,0.849,2.301,1.575,0.35,0.147,-0.513,99073.578,42.027
0.014656,7.072,0.003,0.82,15.006,8.295,-1.085,0.347,0.148,-0.512,,
0.02984,7.021,-0.411,0.301,53.559,20.816,6.405,0.349,0.153,-0.502,99068.266,42.03
0.044912,6.138,0.188,-0.542,71.645,5.565,-0.472,0.345,0.149,-0.496,,
0.059968,6.749,-0.415,-0.154,102.217,5.276,3.85,0.348,0.144,-0.503,,
0.075152,7.96,1.812,0.242,124.521,12.863,8.89,0.348,0.136,-0.499,,
0.090176,6.862,0.526,0.116,97.44,10.841,-1.584,0.351,0.13,-0.501,,
0.109536,7.362,-0.704,0.146,130.331,-6.519,-1.514,0.351,0.129,-0.507,99062.562,42.015
0.123696,7.624,-0.739,0.686,137.734,-24.719,4.673,0.352,0.12,-0.507,,
0.13784,8.204,-0.093,1.091,141.732,-8.041,3.999,0.353,0.11,-0.504,,
0.152128,8.433,-0.004,0.728,147.446,-0.796,0.184,0.349,0.111,-0.508,,
0.166288,8.184,-0.221,2.301,187.031,-12.408,-4.349,0.346,0.108,-0.509,,
0.180576,9.219,0.417,3.552,193.646,-25.83,10.815,0.346,0.095,-0.5,99051.859,41.998
0.197552,8.388,-0.562,-3.516,220.229,71.015,0.586,0.35,0.091,-0.506,,
0.211616,7.371,1.828,-4.164,218.4,94.885,3.658,0.342,0.08,-0.5,,
0.225904,9.227,-2,-3.884,194.136,98.236,-4.314,0.351,0.076,-0.503,,
0.239968,8.877,-0.706,-0.826,178.684,88.664,-3.027,0.351,0.062,-0.504,,
0.254224,8.307,-0.277,-0.269,177.467,84.122,-9.914,0.344,0.062,-0.502,99031.75,41.971
0.268304,8.374,0.034,0.037,166.241,81.734,-12.04,0.342,0.056,-0.501,,
0.282368,8.245,0.107,0.285,160.746,82.959,-16.021,0.339,0.044,-0.489,,
0.300768,8.387,0.021,0.739,151.83,86.223,-19.714,0.34,0.036,-0.497,,
0.31488,8.344,0.006,0.536,145.075,94.684,-22.452,0.335,0.038,-0.482,,
0.329184,8.386,-0.004,0.737,138.477,97.431,-25.734,0.328,0.032,-0.476,99022.391,41.972
0.34336,8.342,0.059,0.729,133.919,100.135,-29.584,0.33,0.026,-0.474,,
