X	Y	Z
0.01437	-0.16759	-9.44752
0.01915	-0.17238	-9.42837
0.00958	-0.17238	-9.48104
0	-0.16759	-9.47146
0.00958	-0.15802	-9.40442
0.01915	-0.16759	-9.47146
0.00479	-0.17717	-9.4571
0.01437	-0.16281	-9.48104
0	-0.17717	-9.47625
0	-0.16281	-9.44752
0.01915	-0.15802	-9.44752
0.00479	-0.16759	-9.4571
0.01437	-0.17238	-9.4571
0.00479	-0.15802	-9.44273
0.00958	-0.15802	-9.47146
0.01437	-0.17238	-9.45231
0.00958	-0.18196	-9.4571
0.00958	-0.16281	-9.4571
0.00958	-0.15802	-9.43794
0.01915	-0.16281	-9.46667
0.00958	-0.16281	-9.44752
0.00958	-0.17238	-9.4571
0.00958	-0.16281	-9.45231
0.00958	-0.17238	-9.46667
0.00958	-0.16759	-9.46189
0.01437	-0.16281	-9.40442
0.00479	-0.16759	-9.46189
0	-0.16759	-9.4571
0.01437	-0.18196	-9.44752
0.00479	-0.16281	-9.46189
0.00479	-0.16759	-9.41879
0	-0.17717	-9.48104
0.00479	-0.17238	-9.43316
-0.80445	-0.15323	9.81623
-0.79487	-0.16759	9.81144
-0.79487	-0.14365	9.81623
-0.79487	-0.17238	9.80186
-0.7853	-0.15323	9.83059
-0.79966	-0.16759	9.81623
-0.7853	-0.15802	9.82102
-0.79009	-0.16281	9.80186
-0.78051	-0.16281	9.8258
-0.79009	-0.16281	9.81144
-0.79487	-0.14844	9.81623
-0.80445	-0.16281	9.81144
-0.7853	-0.16281	9.80186
-0.79487	-0.16281	9.81144
-0.78051	-0.16281	9.80186
-0.79487	-0.15802	9.81144
-0.79487	-0.15802	9.81623
-0.79009	-0.15802	9.78271
-0.78051	-0.16281	9.82102
-0.7853	-0.14844	9.80186
-0.79487	-0.16281	9.80665
-0.79009	-0.19154	9.84017
-0.77093	-0.16281	9.76355
-0.79966	-0.17238	9.83538
-0.79009	-0.15802	9.77792
-0.79487	-0.16759	9.84017
-0.77572	-0.16281	9.77792
-0.79009	-0.17238	9.83538
