Time,aX,aY,aZ,gX,gY,gZ,Prs,mX,mY,mZ,state
0,-0.080078,-0.010742,1.006348,-0.066518955,-0.24449897,0.931264455,101357.0007,0.129639,0.160545,0.605536,0
0.01,-0.075195,0.000488,0.996094,-0.066518955,-0.12254697,0.626385455,101360.9985,0.147671,0.157945,0.596945,0
0.02,-0.058105,0.002441,0.976074,-0.066518955,-0.06157197,0.260532455,101345.0012,0.127823,0.162354,0.600401,0
0.03,-0.072266,0.001953,0.974609,-0.005542955,-0.18352297,0.138581455,101348.999,0.126514,0.161083,0.608198,0
0.04,-0.088379,-0.004395,0.993652,-0.066518955,-0.24449897,-0.471175545,101345.0012,0.129051,0.157714,0.607361,0
0.05,-0.079102,-0.002441,1.007812,-0.066518955,-0.12254697,-1.080931545,101345.0012,0.142491,0.163038,0.579202,0
0.06,-0.070312,-0.003418,0.990234,-0.066518955,-0.18352297,-0.471175545,101348.999,0.142728,0.162605,0.582285,0
0.07,-0.079102,-0.013672,0.970703,-0.005542955,-0.18352297,0.504434455,101348.999,0.147823,0.156333,0.587082,0
0.08,-0.075195,-0.020996,0.984863,-0.066518955,-0.18352297,0.626385455,101357.0007,0.146178,0.159651,0.586393,0
0.09,-0.066406,-0.010742,1.006836,-0.005542955,-0.12254697,0.504434455,101340.0024,0.125663,0.164704,0.6005,0
0.1,-0.069336,0,0.998047,-0.066518955,-0.12254697,0.260532455,101357.0007,0.129099,0.163309,0.604493,0
0.11,-0.080566,-0.00293,0.980957,-0.127494955,-0.18352297,-0.105321545,101345.0012,0.127944,0.161944,0.607178,0
0.12,-0.080078,0.007324,0.960938,-0.005542955,-0.18352297,-0.532150545,101332.0007,0.143681,0.161107,0.591781,0
0.13,-0.070801,0.008301,1.004883,-0.005542955,-0.24449897,-0.105321545,101357.0007,0.128917,0.161499,0.602201,0
0.14,-0.075195,-0.009766,1.004395,-0.066518955,-0.24449897,0.199556455,101345.0012,0.129284,0.160306,0.60405,0
0.15,-0.09082,-0.026855,0.991211,-0.066518955,-0.12254697,-0.288248545,101357.0007,0.125844,0.163153,0.604069,0
0.16,-0.062012,-0.022949,0.970703,-0.005542955,-0.12254697,-0.410199545,101345.0012,0.129271,0.160952,0.608859,0
0.17,-0.000488,-0.000488,-0.000488,0.970066045,-0.54937697,0.321507455,101357.0007,0.125135,0.165547,0.602036,0
0.191,-0.08252,0.008789,0.991699,-0.066518955,-0.12254697,-0.227272545,101357.0007,0.127551,0.160466,0.60698,0
0.201,-0.063965,0.001953,0.978516,-0.066518955,-0.18352297,0.077605455,101345.0012,0.126258,0.161954,0.605179,0
0.211,-0.097168,-0.001953,0.98584,-0.005542955,-0.24449897,-0.044345545,101345.0012,0.126566,0.16294,0.605867,0
0.221,-0.064453,0.001465,1.074219,-0.005542955,-0.30547397,-0.715077545,101405.9998,0.128105,0.159693,0.607293,0
0.241,-1.774902,1.192871,7.533691,1.640798045,2.80428203,-3.276053545,101332.0007,0.128853,0.16328,0.59574,0
0.251,-0.134277,-1.375488,7.649414,5.421286045,-2.86644997,0.443459455,101271.0022,0.141636,0.155647,0.602627,0
0.261,0.494141,-0.222656,7.814941,0.970066045,-0.54937697,0.321507455,101323.999,0.126675,0.161587,0.597668,0
0.271,-0.608887,-1.200195,7.643066,-1.590908955,1.82867203,-40.77605555,101320.0012,0.122387,0.165744,0.602177,0
0.281,-0.268066,-1.585449,7.570312,4.262749045,1.21891603,-41.93459055,101320.0012,0.139538,0.158167,0.599771,0
0.291,-0.280273,0.707031,7.572754,6.396896045,-2.62254697,-52.30044255,101290.9973,0.122809,0.165269,0.598485,0
0.301,-0.053223,0.09668,7.725586,1.213969045,-1.64693797,-50.10532055,101332.0007,0.132008,0.16704,0.592728,0
0.311,-0.257324,0.143555,7.645996,0.970066045,-0.54937697,0.321507455,101357.0007,0.122634,0.164879,0.593243,0
0.321,-0.19873,0.40918,7.703125,1.031042045,4.32867203,-6.202882545,101328.0029,0.120906,0.16542,0.597653,0
0.331,-0.284668,0.186523,7.875,3.652993045,0.85306203,3.126385455,101377.002,0.133608,0.162653,0.59107,0
0.341,-0.211426,-0.069336,7.953613,-0.615298955,-0.30547397,9.223947455,101332.0007,0.122178,0.164794,0.59687,0
0.351,-0.308105,-0.301758,8.046387,-2.566518955,1.95062303,6.662971455,101332.0007,0.120797,0.168742,0.600378,0
0.361,0.067871,0.135742,8.168945,-1.407981955,1.70672103,0.138581455,101332.0007,0.118534,0.168129,0.592391,0
0.371,-0.310547,-0.353516,8.381836,3.470066045,2.19452603,-13.58093155,101345.0012,0.121044,0.165656,0.596178,0
0.381,0.100098,0.219238,8.480957,0.909091045,0.79208703,-25.59312755,101348.999,0.136945,0.159389,0.594313,1
0.391,-0.116699,0.262207,8.563965,-1.286030955,-0.61035197,-29.31263855,101290.9973,0.122555,0.168616,0.591657,1
0.401,-0.103027,0.070312,8.619141,-2.749445955,0.79208703,-29.92239455,101332.0007,0.115804,0.171519,0.595689,1
